hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,65,2016,April,29,8,3,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,100.85,0,2,Check-Out,2016-04-17
City Hotel,1,1,2016,July,29,2,3,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,B,B,0,No Deposit,33.0,,0,Transient,180.08,0,2,Canceled,2017-04-05
City Hotel,1,63,2016,March,51,6,0,7,1,0.0,0,BB,PRT,Groups,TA/TO,0,2,0,B,B,0,No Deposit,32.0,,0,Transient,120.3,0,1,Canceled,2016-07-12
City Hotel,0,75,2017,December,12,26,1,5,2,0.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,B,B,0,No Deposit,39.0,,0,Transient,156.21,0,0,Check-Out,2016-05-05
City Hotel,0,16,2016,December,16,26,1,8,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,6.0,,0,Transient,203.22,0,1,Check-Out,2017-06-29
City Hotel,1,16,2017,April,26,21,0,9,2,0.0,0,BB,ESP,Online TA,TA/TO,1,0,0,D,D,0,No Deposit,3.0,,0,Transient,148.34,0,1,Canceled,2016-02-04
Resort Hotel,0,6,2017,May,44,3,0,9,1,0.0,0,HB,PRT,Direct,TA/TO,0,0,1,E,E,1,No Deposit,5.0,,0,Transient,118.54,0,0,Check-Out,2017-07-10
City Hotel,0,44,2016,June,29,20,0,6,2,0.0,0,BB,ESP,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,24.0,,0,Transient,22.2,0,1,Check-Out,2016-10-09
City Hotel,1,79,2016,January,38,4,3,6,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,1,D,D,0,No Deposit,36.0,,192,Transient,86.57,0,2,Canceled,2016-08-26
City Hotel,0,270,2015,November,43,20,1,8,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,1,F,F,0,No Deposit,3.0,,0,Transient,200.44,0,1,Check-Out,2016-08-20
City Hotel,0,20,2017,October,47,1,3,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Contract,119.88,0,0,Check-Out,2016-10-26
Resort Hotel,0,79,2016,April,24,8,3,3,2,0.0,0,BB,PRT,Complementary,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient,44.99,0,0,Check-Out,2017-05-08
City Hotel,0,41,2016,July,24,4,0,3,1,1.0,0,SC,GBR,Offline TA/TO,Corporate,0,0,0,C,C,0,No Deposit,26.0,,0,Transient,95.4,0,1,Check-Out,2016-07-18
Resort Hotel,0,74,2017,May,5,27,3,7,2,1.0,0,BB,DEU,Corporate,TA/TO,0,0,0,C,C,0,No Deposit,12.0,,0,Transient,51.91,0,0,Check-Out,2017-04-17
Resort Hotel,0,108,2016,March,5,16,0,3,2,0.0,0,Undefined,NLD,Offline TA/TO,TA/TO,0,0,0,B,B,0,No Deposit,10.0,,0,Transient,84.41,0,1,Check-Out,2016-12-11
City Hotel,0,38,2017,April,26,26,1,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,1.0,,0,Transient,86.88,0,0,Check-Out,2016-07-08
Resort Hotel,0,7,2016,February,39,1,3,7,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,7.0,,0,Transient,78.63,0,0,Check-Out,2016-01-29
City Hotel,0,120,2017,October,44,21,1,7,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,1.0,,0,Transient,108.48,0,2,Check-Out,2016-11-22
City Hotel,0,58,2016,August,22,14,3,5,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,21.0,,0,Contract,13.08,0,0,Check-Out,2016-09-03
City Hotel,0,184,2015,December,30,14,2,8,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,28.0,,0,Transient-Party,134.78,0,0,Check-Out,2016-11-16
Resort Hotel,1,16,2017,January,43,25,0,7,1,2.0,0,FB,ESP,Offline TA/TO,Corporate,0,0,0,A,A,0,Non Refund,26.0,,3,Transient,169.49,0,4,Canceled,2017-09-08
City Hotel,0,11,2015,August,17,2,3,9,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,30.0,,0,Transient-Party,22.18,0,0,Check-Out,2016-10-02
City Hotel,0,14,2017,July,9,27,0,2,1,0.0,0,BB,ITA,Online TA,TA/TO,0,0,1,A,A,0,Non Refund,4.0,,0,Transient,152.84,0,2,Check-Out,2016-09-25
City Hotel,0,325,2017,August,48,1,2,1,3,0.0,0,FB,GBR,Groups,Corporate,0,0,0,B,B,1,No Deposit,24.0,137.0,0,Transient,134.48,0,0,Check-Out,2017-05-14
City Hotel,0,146,2016,December,29,11,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,0,Non Refund,9.0,,0,Transient-Party,121.42,0,0,Check-Out,2016-10-18
Resort Hotel,0,24,2016,May,9,4,0,8,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,F,F,0,No Deposit,27.0,,0,Transient-Party,107.17,0,1,Check-Out,2017-08-20
City Hotel,0,29,2017,February,14,15,2,9,2,0.0,0,SC,ITA,Offline TA/TO,TA/TO,0,0,1,A,A,0,No Deposit,34.0,,0,Transient,115.14,0,2,Check-Out,2017-03-18
City Hotel,0,78,2016,January,17,17,1,1,2,2.0,0,BB,ITA,Offline TA/TO,Direct,0,2,0,D,D,0,Non Refund,27.0,,0,Transient-Party,143.99,0,1,Check-Out,2016-03-21
City Hotel,1,44,2017,June,11,18,0,8,2,0.0,0,BB,PRT,Online TA,Direct,0,0,0,F,C,0,Non Refund,17.0,,0,Transient,114.84,0,0,Canceled,2017-09-11
City Hotel,0,26,2015,March,23,23,2,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,16.0,,0,Transient,226.13,0,2,Check-Out,2016-08-09
City Hotel,1,31,2017,February,43,22,0,8,2,0.0,1,FB,CN,Direct,TA/TO,0,0,0,A,A,0,No Deposit,23.0,,0,Transient-Party,76.47,0,3,Canceled,2017-10-06
City Hotel,0,165,2016,February,39,27,2,6,1,0.0,1,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,37.0,,0,Transient,179.04,0,1,Check-Out,2016-07-19
City Hotel,0,89,2017,April,48,13,0,0,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,27.0,,0,Transient,99.24,0,0,Check-Out,2016-07-01
Resort Hotel,0,166,2016,February,44,5,3,4,1,0.0,0,BB,GBR,Online TA,Corporate,0,0,0,A,A,0,No Deposit,5.0,,0,Transient-Party,87.21,0,4,Check-Out,2016-04-07
Resort Hotel,1,212,2015,June,17,5,3,0,2,0.0,0,SC,ITA,Groups,TA/TO,0,0,1,A,A,0,No Deposit,33.0,,0,Transient,150.35,0,1,Canceled,2016-02-26
Resort Hotel,0,85,2017,August,4,8,3,3,2,1.0,0,HB,GBR,Groups,TA/TO,0,0,0,B,B,1,No Deposit,3.0,,0,Transient,91.19,0,3,Check-Out,2017-07-14
City Hotel,0,79,2017,April,8,17,3,7,1,0.0,0,BB,IRL,Direct,TA/TO,0,0,0,B,B,0,No Deposit,16.0,,0,Transient,183.33,0,0,Check-Out,2017-06-15
Resort Hotel,0,12,2016,February,42,2,0,6,1,0.0,0,SC,PRT,Online TA,Direct,0,0,1,A,A,1,No Deposit,16.0,,0,Transient,71.39,0,3,Check-Out,2017-07-16
Resort Hotel,0,57,2017,July,18,27,2,7,2,0.0,0,SC,PRT,Online TA,Direct,0,2,1,A,A,0,No Deposit,26.0,,0,Transient-Party,162.14,1,2,Check-Out,2016-09-04
Resort Hotel,0,28,2015,February,38,28,0,6,2,0.0,0,BB,PRT,Corporate,TA/TO,0,0,1,D,D,0,No Deposit,35.0,,0,Transient,132.09,0,1,Check-Out,2016-09-20
City Hotel,0,198,2015,September,24,5,0,0,1,0.0,0,BB,PRT,Online TA,Direct,0,0,0,C,A,0,No Deposit,12.0,,0,Transient,97.62,0,0,Check-Out,2016-03-07
City Hotel,0,26,2015,May,47,22,1,5,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,Non Refund,27.0,,0,Transient,60.8,0,0,Check-Out,2016-11-01
City Hotel,1,32,2016,May,27,17,1,4,3,0.0,0,BB,PRT,Direct,Corporate,0,0,0,A,A,0,No Deposit,24.0,,0,Transient,60.62,0,2,Canceled,2017-08-27
Resort Hotel,1,203,2015,March,47,14,1,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,26.0,,0,Transient,66.77,0,1,Canceled,2016-09-25
City Hotel,1,311,2016,April,14,21,0,2,2,0.0,0,BB,BEL,Online TA,TA/TO,1,0,0,C,C,0,Non Refund,1.0,,0,Transient,154.84,0,0,Canceled,2017-06-15
City Hotel,0,79,2015,February,41,17,1,7,2,0.0,0,BB,GBR,Offline TA/TO,Corporate,0,0,0,E,E,0,No Deposit,22.0,,0,Transient,107.06,0,1,Check-Out,2016-01-10
City Hotel,1,66,2017,July,28,10,0,6,2,0.0,0,BB,ESP,Corporate,TA/TO,0,0,0,C,C,0,No Deposit,39.0,,0,Transient,140.55,0,3,Canceled,2016-02-20
City Hotel,0,27,2017,February,10,16,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,1,A,A,1,No Deposit,11.0,,0,Transient,111.88,0,0,Check-Out,2017-11-05
City Hotel,0,117,2017,September,13,4,1,0,2,0.0,0,BB,USA,Online TA,Direct,0,0,0,A,A,0,Non Refund,33.0,,0,Transient,55.59,0,0,Check-Out,2017-06-29
Resort Hotel,0,55,2016,April,17,8,0,0,2,0.0,0,BB,FRA,Groups,Corporate,0,0,0,B,C,0,No Deposit,30.0,,0,Transient,120.99,0,2,Check-Out,2017-04-27
Resort Hotel,0,60,2017,July,9,28,3,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,1,F,F,0,No Deposit,,,0,Transient,132.61,0,1,Check-Out,2017-04-30
Resort Hotel,0,53,2016,July,49,6,3,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,26.33,1,1,Check-Out,2017-08-30
City Hotel,0,51,2017,August,12,17,3,9,1,3.0,0,SC,GBR,Online TA,Direct,0,0,1,A,A,0,No Deposit,35.0,,0,Transient,78.21,0,3,Check-Out,2016-04-24
City Hotel,0,26,2016,October,32,9,0,7,1,0.0,0,BB,GBR,Corporate,TA/TO,0,0,0,A,A,0,Non Refund,12.0,,0,Transient,68.38,0,0,Check-Out,2016-08-06
City Hotel,0,336,2016,July,30,14,1,4,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,56,Transient,48.54,0,1,Check-Out,2016-11-26
City Hotel,0,106,2015,November,29,7,3,2,4,0.0,0,Undefined,FRA,Online TA,TA/TO,1,0,1,D,D,0,No Deposit,20.0,,0,Transient,111.52,0,2,Check-Out,2016-04-10
City Hotel,0,325,2017,April,33,16,2,1,2,0.0,1,BB,DEU,Direct,TA/TO,0,0,0,A,A,0,No Deposit,29.0,,0,Contract,117.38,0,1,Check-Out,2016-12-16
City Hotel,0,360,2017,October,48,16,1,1,2,0.0,0,SC,PRT,Direct,TA/TO,0,0,0,A,A,1,No Deposit,11.0,,0,Transient,164.1,0,1,Check-Out,2016-04-15
City Hotel,1,37,2017,May,51,18,3,0,2,0.0,0,BB,ITA,Online TA,TA/TO,0,2,0,A,G,0,No Deposit,14.0,,0,Transient,141.31,0,1,Canceled,2016-07-23
City Hotel,0,53,2017,August,46,9,1,9,3,2.0,0,HB,PRT,Direct,TA/TO,1,0,2,E,E,1,No Deposit,,,0,Transient,91.27,1,0,Check-Out,2017-11-18
City Hotel,0,122,2017,June,24,17,3,0,2,1.0,0,BB,IRL,Direct,TA/TO,0,0,0,A,A,0,Non Refund,27.0,,0,Transient,91.36,0,0,Check-Out,2017-01-23
City Hotel,0,32,2015,November,38,21,0,8,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,23.0,,0,Transient,184.76,0,0,Check-Out,2016-09-24
City Hotel,0,204,2017,April,10,21,2,5,2,0.0,0,BB,FRA,Direct,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient,127.79,0,0,Check-Out,2017-06-29
City Hotel,0,51,2016,July,46,16,0,6,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,,,0,Transient,156.73,0,0,Check-Out,2016-10-28
City Hotel,0,35,2016,February,11,9,3,9,1,0.0,0,BB,DEU,Groups,Corporate,0,0,0,A,A,0,No Deposit,32.0,133.0,0,Transient,41.45,0,2,Check-Out,2016-11-30
Resort Hotel,1,43,2015,August,6,15,1,7,1,0.0,0,SC,ITA,Offline TA/TO,TA/TO,0,0,0,D,G,0,No Deposit,,103.0,0,Transient,33.7,0,1,Canceled,2016-01-05
City Hotel,0,6,2017,January,44,16,0,1,2,0.0,0,Undefined,FRA,Online TA,Direct,0,0,0,D,D,1,Non Refund,14.0,,0,Transient,86.36,0,3,Check-Out,2016-10-12
City Hotel,0,29,2017,May,40,27,3,9,1,1.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,148.98,0,1,Check-Out,2017-10-14
City Hotel,0,324,2016,January,8,11,3,1,1,0.0,0,BB,BRA,Offline TA/TO,GDS,0,0,1,E,E,0,No Deposit,31.0,,0,Group,176.63,0,1,Check-Out,2017-05-27
